id,square_term,sentiment,text
gp:AOqpTOG-7wpB8tAPlaoqyNm2aA4NQHxvJt-skZClHoSb1YTQ5egtHF9fmIXfxnt2WoYRQjOXFlXCBOl-Rgp18w,0,neutral,N consigo fazer nada e ñ chego nem o email pra mim
gp:AOqpTOEiADeg2aUddLFu-LHFEbIRVOL_bu4i38BlenyySlLV_U8OQDJ79XchynYKXwzO4BlK0EnMyIU11VD8Tw,1,negative,Da mesmo erro que meu CPF já tem cadastro mas nunca fiz cadastro
gp:AOqpTOHZ9b0kCWnytlK-YJh44a9E1GSfAeolQXeg0i-Td-AenN9MgGrOPFAIBJidEaW8S5rLuYkJu5shW9bCvw,0,positive,"Não consigo imprimir o boleto para fazer o enem. Me inscrevi dia 11/05 e nada desse boleto, quando tento me cadastrar da em outro número. OQUE EU FAÇO??Caso contrário não vou conseguir fazer o enem????"
gp:AOqpTOGfTP7yAnNDJoYkaLBnzvjNuu6zxMytQ1u2qwrP5x7XqhViTWjlTe6KyX_pTbB80qxPgY1MctcoiKhv6Q,1,negative,"Bom dia, preciso desse cadastro para realizar minha inscrição do Enem, mas estou com o mesmo problema que todos. Entrei no site que você já recomendou mas ele carrega a pagina!"
gp:AOqpTOFRfbO85-tmnLTadT5FN8WkgcIVkpz1I6-auIqeBYhiK6JPfPgu1f1EddpDueedXqfSNERW3xtG0kTFuA,1,negative,Péssimo esse app. Não conclui os dados biométricos. Só repete que houve erro e tal.
gp:AOqpTOFqemlN5RGrJpfxMs7Ny-VZ62dLBrann2CPN4FzoNObNus6onoiJA7E20UgTfgV0gMgn00k07Waw4lVtg,0,positive,Muito bom
gp:AOqpTOE71Ljl5KqPxZ4Fmw5sNL7_2Ny0PiS4MyNg4CPCg9Tx1f4DExmVBdwD9k-aqu2Ra2IgnMFV2pIrWIHE8g,1,negative,Como faço pra recuperar a senha pelo banco itau... Ta dificil pra refazer..
gp:AOqpTOGbMpy6CPwAwl2bGvfdiBpQZnBiCzhRvAuAMRHKCiL2zt0UZuZNW2N7z8qjEP6E1V8iozHawk8cl7twDQ,1,positive,Muito bom
gp:AOqpTOH4_AvEWy_QD6aneacLqDlx4IqsssPi59pLLJyV3XQQkGEU0o80sK3Ag9mprcITjfQZpruOiYGkVwtJEA,0,positive,Útil
gp:AOqpTOFHCDqZKezvRiwignmxZmBjYTI8FmlU-DN2bo1Bc3FrHPgC5D-ODmNFPchTYZd39qk1vJv_JjUs4k2a1A,1,neutral,"Não lembro qual e minha senha , Como devo fazer?"
gp:AOqpTOF7EhWLStyMDC11Z7kpinPdXdEDMnGFQJbdtzpPHPtMuz3aBtm4rYgv1zfSV0J-_03k9wRCuL6nKr1ZKQ,0,positive,Bom
gp:AOqpTOEaZDCffVXPz07Pi2DCSR1AWW4MqTymTCKSlSpLNrmIz7oHB2lPJF_9qfkra7luUmjdblB8cF_GF9wFDQ,0,neutral,"Não estou conseguindo baixar o app, porque não consigo?"
gp:AOqpTOFPMovvJE6Mb6hA79axGLyN2xN82SrWz3pf7qGW731Pe7qTg1YCnOWYpUgXLe_rtQba-Q5JeqeyY_ERLQ,0,positive,Muito bem bolado
gp:AOqpTOEAN3oUCnFZS_DQ2bhc9b1ABukwkEZjxvL0WGOZ9ZkPYIeV-orrjGAij6rNXTivRhtF1OCfQEaRt42jkw,0,neutral,Não consegui entrar no App
gp:AOqpTOH2v3ua8V-4R9ve00AjlRPWor6b59v0C-nUrXUET6JP5TqqdXKbTN6nyuji0jd1vMjQ2mtlMdyic2b5nQ,1,positive,Me ajudem a recuperar a Senha!!!!!!!! Não comigo entrar na minha conta.
gp:AOqpTOG1CzR_u7QP-1v8oPGcrzWW0BjeYBLYuqZboDk4TI95wqGgfCbG57QpBS610bMs_lEN0-qYM04evA9z_g,0,neutral,Não fiz cadrastou nenhum no gov e diz q já estou cadrastada
gp:AOqpTOFkr2ZxbdGT7x2TzdYfwWR9vq_HCqRe8Z7AhVdg53GMaGscIVLAZq_iMXbMs1ZBYw55kg_ONyTsWUYUww,0,negative,"Tem alguém usando meu CPF não consigo ter acesso de jeito nenhum, péssimo atendimento não atende nossas necessidades"
gp:AOqpTOFMCzMfyb8Z6wDLvxagtPzajliHe92_qZZ4Hx7buujWn-nRb6yMQ__YF6KHHt17seGTuA6NB9j_TT5RdA,1,negative,"Esse app é muito ruim,fala que a gente tem cadastro,sendo q nunca fiz,Nem senha consigo fazer outra,ta dificil"
gp:AOqpTOFY2G4WiX1tmfZLQrCWwsG8Gmp9GCrD3bEFFSd792lRdiC9fUZDKhroCNLibcAEf9gVqsWemCF_Kkhsxg,1,negative,Não consigo criar conta
gp:AOqpTOH15nDH-oAoMvR0WHYdmNRBUHMuE6i08r4qHFMIWa6E0X24GsysYpO10w-wAMhTRFF8O7Zqsg30fckg2w,0,negative,"Tem alguém usando os meus dados. Pois informa que já tenho cadastro, porém nunca fiz. Na recuperação de senha tem um e-mail e telefone que não é meu. Como isso pode acontecer? Esse tipo de coisa é crime."
gp:AOqpTOEqkVLv1k8IUdiie_vFMWHQhMzpvMNJK-rIjIjCvzPXmr-IHwWYjIB1DQ1N_9Q9WpOVGc9YGF7MLMIJ-w,1,negative,Pqp pra que dificulta tanto a criação da inscrição do Enem desse ano
gp:AOqpTOEYvFwLYBasznO_N-X6ksyPrnitxV-P_3oNMRbe_BiQAXNOd7Nm1-0-XZEpcGQC1Ng4ILXOrlVyV8Lv4g,1,neutral,BUROCRÁTICOOOOOOOOOOOOOOOOOOO!
gp:AOqpTOGBjQbmOe8IQJ5vYvEMl6GxfqlbGhN-UMg_kpOQAsdGZSGX1RBpXBPHLHSgARciiUOHvAPgreQ0ikOnjA,0,negative,"Aplicativo horrível, pois não tem como redefinir a senha de acesso, pois aparece um email e um número de telefone que não é meu, e não consegue ler a minha carteira digital. Ja fiz todo passo a passo que vcs disseram, e continua do mesmo geito."
gp:AOqpTOFN5nccmwfPFNz8l0Va_QbL7Ad32QV9cqDity6cQ7c5fJel0gmr3katzlv1MW0ARWRWy5HAQYdP4QM3Ew,0,positive,Excelente ok
gp:AOqpTOF82MSWoWeLxRAiNp5Pw7XTJfoFKHHDKM8qHaUQ2FlDK1rOzw4koe2Umk6dY-agRXhjRPmsiCyIXzYYdQ,0,positive,Preciso alterar o número que foi cadastrado no CAD único para poder validar meu cadastro no aplicativo da caixa (caixa tem).
gp:AOqpTOH9kKtfL2QwICMVGLDx1ngcLRegaA-ASzvmjcP0lz1ovHxKdDC2msO48b2w3mMGsRWVfe3pn_8AMPD53g,1,positive,"Sempre que tento acessar aparece Usuário ou senha inválidos, como faço para resolver? Aparece como se eu tivesse cadastro e não tenho.."
gp:AOqpTOGoJNE6HJ2WqzMiifwKRz-UNSv_M6p03Jb63CIbEHGiYB6qz5yNnQOJmn6k4O7o7qUS-rPCwAxEA8V8CA,1,neutral,Aplicativo não serve para nada. Gostaria de saber como vou pagar o boleto ser eu não acesso a ele . Nunca fiz cadastro e lá constar que fiz .
gp:AOqpTOH_bb5DS3bxcoOT53v-_L7poP0_3v-1IZIooSanHe1VEeFR5Faty2ajGAkn5r3Ntyq1wbT2vhtTpNdykA,0,positive,"Poderiam ser mais específicos e simplificar o acesso a um suporte, consegui solucionar meu problema, a senha, pelo menos a minha da inválida quando tem caracteres especiais mas não notei avisos quanto a isso, deveria ter. Pelo menos se deram ao trabalho de responder, obrigado pela atenção."
gp:AOqpTOFqSxFgQJQtbx0_rTl8UoB8uZB54gDEo_XyflwfVBA60s3e1eibX5F9QNZvOlhNtyX0smCBYIAniZ7PJQ,0,positive,"Boa Tarde, No App diz que meu CPF já já está cadastrado...mas não consigo renovar a senha, pois vcs preencheram meus dados com o número de celular antigo referente ao App INSS E NÃO CONSIGO ALTERAR . POR FAVOR TRAGAM UMA SOLUÇÃO POIS PRECISO ACOMPANHA MEU ENEM."
gp:AOqpTOHZV-9lgCPZ3qzKplz74tU5FnJ38dWgKar8uuCg5XvpPK6cUarzI4qw-T9yFpXtBjwq8av86gSITHugqA,1,negative,"App péssimo, tudo da erro , não funciona , não atende as necessidades, não resolve o problema, não dá a opção de solucionar nada, não cumpre com sua finalidade. Péssimo, horrível!"
gp:AOqpTOEjhRufV_TbyyfRKcaiPWWlCNOqXCYwCqFI4FOG-mPxmuTuT1UFoiXeD3sbRB2WKkvVu6-N1gBA73dsIA,0,neutral,O governo se superando em fazer aplicativo ruim. Não acerta uma.
gp:AOqpTOFOpXiQskV4jaygtWKxBi6Yq9dLI5xyj4xidYSyHBNgGFZkTqbsdCTt-zJtYR9AzBtPPZlCkHpx93lKhA,0,neutral,Ruim
gp:AOqpTOEpOPIj75vrnyz72nKtHSRmBvN_ERJCotg9ObNLtIxMREWKQIhB0AhP4Tmum9CAg-oQgHB3kblQzYS6MA,1,negative,"Como faço pra ter uma senha nesse aplicativo ruim? Vocês falam que tenho cadastro mais nem opção de senha vocês me deram pra fazer, tô cadastrado numa coisa sem senha como?"
gp:AOqpTOGs_W3MN98R1C8CYwQSRQ-N4Ypt9kEaq4oeW_V93mbkU6WefWzFk7ISq5vBMnGriwkUkbpChh8ReX1ahg,0,negative,Dá erro todas as vezes que tento entrar
gp:AOqpTOHb0bDMNYkfxPjXP_3X96BO5y1_xouKx2SAoopBTM5dJRYwViUPPSmHtEkr4xG43-fdtARx1fnNzQv2nw,0,neutral,Nossa nunca está disponível. Indisponível tente mais tarde.
gp:AOqpTOFx_Yb2WIOWCO0XR_qxPqwzuV8kw3Ky8d-78X9ov9DR6vwFdwgCYCRvvAsaiLE4uSuGeCp3_721DjpjMw,1,positive,"gostaria de ajuda, pois fiz meu cadastro e não consigo acessar, está dando senha incorreta e NAO tá incorreta já salvei automaticamente. Tento recuperar mas você enviam CODIGO DE VERIFICAÇÃO e não uma senha temporária."
gp:AOqpTOGx_N3YvqgaBgdGGYnsjw5jDooE4x89I_m8yVJ3KYJk2o22czlyeklTrt4s6rqA4f83ju5mGqUmV0z27A,1,positive,Quero recuperar minha senha e não consigo
gp:AOqpTOElwJPlhSMGqkVtQzhk-1cyriyEplqcwPUn6muiW2XViAQu7w1Tq1JhIpA17-twAM65ky0W5iYR7K44jA,1,negative,NAO HÁ OPCAO DE RECUPERACAO DE SENHA.
gp:AOqpTOFp0blOq5TP7nPoN41htLG6bVmSLQ9deEFp8k8cDO5D2dcRZoo_9UMnWizpuiATP4PAl5rU36sljTDiOA,0,negative,"App péssimo! Estou precisando urgente do meu carro e quando tento entrar no app ,diz que já tenho cadastro, mas posso afirmar que nunca fiz! Ai vou na aba recuperar senha e as opções que tem, nenhuma confere com meus dados como email e numero de telefone. Parece que esse app não é seguro e que outra pessoa criou uma conta com meu cpf. Tentei por diversas vezes enviar email para eles e a resposta sempre vem automatica sem nenhuma solução."
gp:AOqpTOH3jUn_MGMfyCHdJhDoV6GEJJyblNh5rJd0I20eOupHgGRCHVt6-79mOcrqUVrwF55FJN6Ihl2gBxdY3A,0,neutral,Tá falando que já tô cadastrada sendo que nunca nem entrei
gp:AOqpTOHeCF3sbeyfsJRa6icfq7RW_-syD6RAG-wd7UOEyVxzKcAeQYPLUGpDbS6IYq1zaw3pr__htT06TPek6Q,1,neutral,"Digite a senha mas se vc não tem ou não lembra, não tem botão para recuperar senha... ????"
gp:AOqpTOFlZZKkfs8p5MRyxrlXZ4H1khmY_HxX11kf_PjeXAlYB6kVO_5g7jMZnTVUqluGwVDJlobJaWqG_i0JMA,0,negative,"O site é ridículo, o aplicativo é pior ainda."
gp:AOqpTOEcEybE0Ao314044V0Z7Swu3flg0nnFHffQwOw9ykUPqcyIj61JGJaLoNMR5rg0UP0zgbRA_3-BFjd2iA,0,neutral,Estão é utilizando meu cpf numa conta e nao consigo entrar
gp:AOqpTOGB43TlKZhK8bz-WqOSSgXpT2CpZd7PNqpSFo9fY-lzb_9qLKkF5xbVthcslLne7jIywBLJpKi9dxUE3A,0,positive,Não sei o que fazer ...não tenho conta maia quando digito meu CPF diz que já tenho conta... preciso urgente fazer isso pra ter acesso a.minha conta só participante só enem ...nao sei o que fazer.
gp:AOqpTOFrl-wNsnta_xublAYOQO9kq-cKE9TxhPeXlWJGw68MkjGac73l3vWa2H43NJiT1xw8n-3YM39yi9-x7w,1,negative,App horrível não tem se quer opção de mudar senha ou refaze-la.
gp:AOqpTOGved-_bXljS1hTL1kVWpE-a6yqG4F0YhTQsgR-1fR7GWwMPUsbgAOzJE3NndtXSX7MIs6dChu6lIDQ1A,0,positive,"Horrível! Só podia vir desse governo lixo, antes funcionava que era uma maravilha, agora ninguém consegue acessar"
gp:AOqpTOF4MxfBIzlEH1zbAkXaHjSVOy60XmmS4UnGkC5SxtNJqwwBRZjOv8EBQOyRLBCjpjIhVI-owdI7niMX8A,1,negative,Não tem como avaliar este app horrível se não consigo me cadastrar e pede a senha se não recebi...aff é desgastante!
gp:AOqpTOFo7eG7CBeLWpr0WQl97evTJ_WimlxJkMT-x7j1uQD0ysGdxVuzfZmEz5TgE9ORbfRQPyQnbcH4oLdQFg,0,neutral,"Não entendo esse App. Só pode entrar se tiver CNH, Nem todo mundo tem."
gp:AOqpTOEdEtRxVopnbolJpqAE8oO6XlqZQJP6sGO5tbCc6qyWid80Q0mOiYXuE-f6EfYX19KCrLA5H-R3mWOxJg,0,negative,Meus dados na conta do Gov BR está com o nome da minha mãe errado como faço p corrigir ? Não consigo ter acesso aos dados da ctps digital ?
gp:AOqpTOFeQVnPXCO9-8xLy7IgbId07ZVhgsMOqvB6mMRo68YRRaRBiQKAC0yg5rz0ZQdwP6EZDrv4ybKFhnJYmg,1,positive,Bom dia...nao consigo entrar e também não me da opção de mudar a senha
gp:AOqpTOFUO4JKxz3ulm61jo5qdhaLnxKCjb78c6NWtjz8kGb15AEM1toHOC09L-7IDPpcGFOgwKlCU_NLFauoEQ,1,positive,"Realizei a recuperação de senha, recebi o e-mail. Mas quando vou fazer o login, solicitam uma ""Senha temporária"" e para criar novamente a senha temporária, preciso ir até uma agência ( as quais se encontram fechadas no momento) ou entao fazer pelo internet banking. Só possuo conta na Caixa, mas não encontrei a opção de criar nova senha."
gp:AOqpTOFZsKgpjRWZc9v9EGItmSHILjokAeBpflfzTxImTGwSYC_91KZlGc7CTTmdizvhKqR7qaRIqLu404OniQ,1,neutral,Não consigo fazer o cadastro quando pede pra trocar senha pelo Gmail pior ainda deus e mais viu
gp:AOqpTOEEFHfZHIoVGjyVomyd77GEgJjuj3zehHOPLz7AiVGMV1xoQO0HiZcC0dGtWR8TLAbEJjjFtwZDZh7DRg,1,negative,"Não me recordo de ter criado um perfil, quando tento entrar diz que meu CPF já está cadastrado, não tem meu número e não chega nada em meu e-mail. Como posso acessar? Já fiz os procedimentos e nada para alteração da senha ou coisa assim. Necessito entrar e n tenho soluções..."
gp:AOqpTOH0exnHyo4qhsT18uC4LNWV9JGDdLKtOExd3yG0G4HoA2VU-wZA7Kt98X53Cxnlgr4AYvz3l-r_4pj4Fw,1,neutral,Não consigo entrar
gp:AOqpTOHSxqkQd3cR2YrF-R7VYiIpx8ylZSvdQEyg_l513x4TjVoVyX6n9HgE4JPhLBXFhqwZ0I3j7hAa5O6yLw,0,neutral,É a primeira vez que participo
gp:AOqpTOFlVKmwnJdPQrZvs5azPkKQO2CAZze54jCLj-2zfWn34k6-MLNd0S0rItqUN64395mxkJGjAQW4uyd7Ig,0,neutral,Como faço pra acessar estão dizendo que já tenho cadastro e senha só que nunca fiz essa senha
gp:AOqpTOFT12zvdd_GlyQnDZH7XIXZthtaYZwM4zOdCVN1_0nHzdPR77V5XeEsuS9Ag9C29E_tGnyJAC0sTyUdpw,1,positive,"Você passa o dia rindo e piscando e não reconhece sua cara! Ou seja, não dá pra usar o aplicativo."
gp:AOqpTOHLcLArVzhHW92ewaBq52nSlvKDW-DEv0Rxco2WO6rv6YEzfwwGN2bKwnmsDn20oj7h42hqpuxFOL4GNQ,1,negative,"Eu nao to conseguindo entrar nesse app,por que primeiro nem acesso a senha e nem a email antigo Tenho,mais ,nem podia existir os dados de senha da pessoa se foi mudado pra fazeo enem,quero ver como vai ficar isso"
gp:AOqpTOE_dZTGk2YItEVxkku_SErjiUv6Ptj3olSnyu9hXpc43YkaTNfybd8RzUOExaCcKUlWCk9uoi-bMi4oOQ,1,neutral,"O app na hora de fazer o reconhecimento facial diz que a foto não corresponde a cadastrada e eu não fiz nenhum cadastro antes, como isso é possível?"
gp:AOqpTOFLgH7QF1uemu6gItPZWOpl5N6kQpVDcJ7EKEFwCpRYaG83eRqBYHfCrf2jUWhUNHGZ0wpKXuATe1s_Ow,0,negative,"Péssimo!! Estão dizendo que já tenho cadastro, mas nunca fiz nenhum cadastro. Sem contar que não tem a opção de usar email ou algum número de celular para recuperar a senha."
gp:AOqpTOGLjT1HNMoU2sLOWFzxnjQcGbMUzkDYuUMeHfxtM6zCzNV79pGB643lGa6_GNmaUamNY_J0idhNT7cHKw,0,positive,Muito obrigado
gp:AOqpTOHYWzflDJ2OGPjI58HPmwERxgSw60BaPi1OlwuwdRa_kBUZUtW7eaEam0R9ymnIsR7NEkjJ_iBgusYc8A,1,neutral,"Preciso gerar o boleto do Enem, mas não consigo acessar ou concluir nenhuma das opções de recuperar a senha. Não sei o que fazer nesse aplicativo!"
gp:AOqpTOFcV_Dx2R9EOr1lrcal5kV3m7MecN4raxCN1V7vy5RINbr57zPGajN7RJllr-ZnL_6Wo5E7YEyxbNLHsw,0,negative,"Nunca fiz conta e diz q já tenho cadastro.. Como pode um App ser tão inútil? Necessito do documento do meu carro.. Instalei a carteira digital de trânsito e a mesma também diz q já tenho cadastro, nunca cadastrei.. Como faço pra acessar meus dados?"
gp:AOqpTOFD0q6h27Vlztx3AZBkjXJmwJlMX51QaCZqEq18qx6C_C_ohSFXm0ytf_P7zUV17M9KxWkdHzM5bBnA1g,0,positive,Bom
gp:AOqpTOE7IkVH_iiTmAA0YPSWZZl7cTCVyFL5bESJY6qyuCq4nnKyZjKo4aAbxEolhVm3-EJC69eKf--UoutFyg,0,negative,Nunca criei uma conta e fala q eu já tenho conta . Eu não entendo isso e quando vou tentar recuperar aparece um número e um email que não são meus. Será que alguém roubou meu CPF?
gp:AOqpTOGx1O8wRovAhYFjiTWZPkLqe6y1aIH3RfzSa9Lgt3oRQbr5IeNOR_kbpf2YR0cHcu2o-hHJQOyXin1ckw,0,positive,Tiraram a opção de validar senha pelo email??? Tento validar minha senha e nada!!! Vou pra validação por código no celular e não aparece campo pra validar!!!!!
gp:AOqpTOEosJbHMupKF8LUHeHemr-vOJ54Q_PwDy2U3YoIKapV6vM6da4PhEQrKKeqQU3tb1FkAwOZh-3G5-OakQ,0,negative,Já consta uma cota no meu CPF Fraude nunca me cadastrei
gp:AOqpTOFAKtIY90jF50Qtpuhi5hJAqo-YRUJTdT9TPKIrjcDuvA-wI1hCn1DPWbpM73kfLxgz6N8SabxyuxIkVg,0,neutral,Oi me chamo Glauco....Fui cadastrar minha CNH digital e descobri que já a cadastraram... Alguém está passando por isso?? Que devo fazer??
gp:AOqpTOHG2-df9oqnrTH95eOFe27KGMXZMJ0gW1634PiBGH1GneuDx1Z7rYCk84tx921IqvNMecHqtHh2rIJARw,1,neutral,Para mim sem serventia ano consigo recupera a minha senha e agora
gp:AOqpTOEvEsTyhx_6maPbWtf8RruX6GaymhHiYmLJW_hU258JwvfQMqWeSVCZRHE1R_SaPA30Z5hWsDYAA_KkEA,0,negative,Não gostei e não consegui entrar
gp:AOqpTOEKl7md64Qikbhn817TwqilaSdXgfQmxLs1nTNTVGjUDKbG3RfvGDkInqooyQbMFGmePW5ki6nzgl4yog,0,neutral,Não funciona
gp:AOqpTOHf91YKchIoQQkfZnb-Y2gfKQkzPa1C0repElg9zZ9ee3B9EsB2lXiZdzkl_MI8g3XyYdf0dR-H25LLVQ,1,neutral,Eu não consigo acessar minha conta af como faço pra acessar
gp:AOqpTOFO-WbIO6G_QkNPh8h0H-XdET3GD4RmQGBJKB0swe9jtOveobW8fQXNw_HNiHoZdIAXndkQ48E1HE27jQ,0,positive,Nao consigo entrar.. diz que ja tenho cadastro.. sendo que nunca me cadastrei.. o email e a senha que tem la para recuperar o cadstro nunca vi e nao é meu... ja vi os outros comentários e vi a resposta ... ja entrei nesse link que vcs mandaram todos entrar e nao adiantou nada ... pelo jeito vi que nao sou a única que está com esse problema... tem como resolver????????????????
gp:AOqpTOE2Bvkpk5wV6sTO_A40Bdvxy0H6E0xVwtgpiu5GXMwBafONExtaimfDHbjfQbcfof5ubfksHi6fzbxH0g,0,negative,"Não facilita pra você fazer alterações nos seus dados cadastrais, achei péssimo esse aplicativo."
gp:AOqpTOGKJZIlFiR5ne0v9AOMGgPEKEDdbG__2WxmuMlnmxVN4ggRCm9rkJTcIxH2LzIIOQfgXWw6tYspJuUFCQ,0,positive,Ótimo
gp:AOqpTOFmsVDf0pL8PkO_UTpdafLRWPDN5XOhDwfnUyM-btsmS1lbXGevHlSCcXYWa4UJKSF0F1EOEn545V_WcQ,0,neutral,Tem alguém usando meu cadastro quando eu digitei meu CPF falar que já tou cadastrado como eu posso verificar
gp:AOqpTOGLNIQ-_Kqfgil4CvOpcVgRh_cCy4mJ5eJPcCf-JnFCITu997nl_baQsdnUKaPBCs577wx-wPgiSYCzYg,0,negative,Há alguém cadastrado no meu CPF que não sou. Como explicar. Pois não tenho como acessar minha conta pq há alguém com outro nome se passando por mim.
gp:AOqpTOEZ0v2PehCYsL3bPbQglei5ocXww8aBUtyjETYvT1R7-7PYfQ4RPs0t3pygYWmRYQABvNWVPb85jzKyCA,1,negative,"Já tenho cadastro,mas não tenho mais acesso ao email de confirmação e nem telefone ,como faço para recuperar minha conta?"
gp:AOqpTOGEMN9zp3Flecc3mYPq1ffnQOxzuZwFxaoAxtLh-IDSzfJlANDEvNS1dMOmB865dkUAbT2wKES1wMea_g,1,negative,Não consigo validar meu dados cadastrais
gp:AOqpTOHhYRZWZDTcK_nafD7VLMW3MauL_ymUMztHuzRPZcdoff0wdsYvTkiLOHJgnESHipw_DFv2nRUo0yTOsQ,0,positive,Es na Palma tempo bom a qualidade ministra cura
gp:AOqpTOEdPNL-OMfgplTJVWdPNOAi3AxkVAfkujzRaCLAePsAySgWdvYVfzFW0FTxVAl7wZiTMFdIst6IjhxPeQ,1,negative,""" Não consta em nossas bases, informações biométrica para esse documento!"" To tentando acessar, mas da essa mensagem. O que eu faço?"
gp:AOqpTOGecgSWhJDCZcxh_Qmns6uqf52txETIuP6FYl0pOOWpLf8Vg9VxlKDTQ1zgv4Hq_1TzvBx24HoWJ0aCcw,1,neutral,"Cadastrei o email do meu antigo trabalho, agora não consigo gerar nova senha. Como proceder?"
gp:AOqpTOFCPDBrc-pdkAtwSIRMipDlUE2rL9ftnwxCsajf3vURCxHeIzvcNg1JmMeNgxVcj9UTjAdfE-zbO2q3ug,1,neutral,Não me lembro da senha Não tenho o e-mail como Fazer pra recuperar a senha
gp:AOqpTOHnwD8TGoxQcqtRO5S-yjbKdT0tTv_dSklI-px4qJmVdjlDXKjmXcji1c1pH4PqdjdOVP5bE3lb7pLdqg,1,negative,Eu perdi minha senha e nao to conseguindo assessar minha conta nao tem opsao pra fazer putra senha
gp:AOqpTOF4-zpWvEJs_Ts0TO8eMxZ4h9ZzgV5uRwPMzfLAA3nrwl-teKkJh1iyNBXYhqEu8hUtQbVLCnOn7hei1w,0,positive,SEGURO HIPER SEGURO
gp:AOqpTOGiP93BJyEOqkmxNAJtU0yM76VGpFOtnhb7C3FrZuEC8z0pi-rw2F7DGtiltnukigdScv1QCIiOig4p8A,1,neutral,Como faço pra recuperar minha senha ? Scrre
gp:AOqpTOGymdERFPlOI9gp2M-llLr8fHYI6dggmaa7Gv5Q9MSxl-_d0GFI9prHCaiZeMywSMmKxBONZQDbqQOQPg,1,negative,Muito complicado. Eu quero pedir um agendamento para uma pessoa que não sou eu. Mas o sistema embaralha tudo e nos joga para um caminho cheio de dúvidas. Era preciso simplificar o atendimento pela internet.
gp:AOqpTOELaTrPAfcAZvhXO2Eyxk5akdT5X-0vJgVi-VGv0VxyfVrMa9zaiWCizQ0Y7tBiVJ-g_wNcx9FVSr3nQw,0,negative,Péssimo! Não dá nem para recuperar a senha que já trava.
gp:AOqpTOFIrnaszA1ReIiz5xtl8wDNilIXJRmFLNTNsLZ4hSANBWVdsqN9EQr7slCZcfnH9aYPx2zIZo24FCkX2w,0,negative,Inútil
gp:AOqpTOHuUw-MxJ92vREygcCsfjfkFFSm1azEZSUFru5btvA_-tpoeibR3f2Qlw39B4K1-hXLiC9Yksv7_rrYBg,0,negative,O meu código não chegou deste ontem e tô começando a fica preocupado se vou perde a inscrição
gp:AOqpTOEd5t_7XUXWDXamIRRBl7boZ75L2WADYmAS0taWZJn5FiBaRwWx3VLqFwXwR9RBlUWGcJM5YnJtfA62XA,1,negative,Numca sabia que tinha esse tipo de asseso agora esto com problema pra faze minha escriçao no enem que raiva viu
