Date,ID,Score,Text,User Name,Version,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,is_usability,is_classified,tam_comentario,col,count_col
2020-06-04,gp:AOqpTOHtXmqwKXu9zbpUJ0bCZV_8M4dJ4b8dkn_-2LXib_2q5rH160FYU9BDabUg-jVmdS6QokMQ35Rb49MinA,4.0,Boa,loretil Calixto,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,is_usability,265
2020-06-03,gp:AOqpTOEoYhaO6FPWwLgeuCJPyiqorGSSu1LImjUqhRn7glRcp6JFLsLIZCXU1KxMc9sGJEqbyueZQdTgHqku6Q,5.0,Bom,Carlos júnior júnior,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,is_classified,509
2020-05-30,gp:AOqpTOFUDLIemtY6jp2p3AqCKv-ANzpGkPemxWdQBNfa4Xrcr0yxoMZZO0AOHZt-LoTT2jWSZlAGoHty46xlug,5.0,Bom,Edielson Samico,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,total,931
2020-05-28,gp:AOqpTOGCAu9M166-MbVWhpmNh8LagaNeva-mS5aY-VQU_KQYAAvHV-NbR3gK1xl7X7Or2zMzugajQHEzMIr-UA,5.0,Top,Fabiano dos dos Santos,1.1.2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-26,gp:AOqpTOEGq9G9Q-Kp-5KCFyZdUNkS63p8Vur5UmkHyTgLW7AK_xNJMpxA6EAA7sKvPwtJuJg9GbDSfN1ya9rvRA,5.0,Bom,edmilson batista nery,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-21,gp:AOqpTOEDWCNosi9oQ9IFevsHnmIEYOANdrW-4KOV2G3oG1jffHLwv83EOqtuQrk3jfp3hxaA9uBppSBn-feJTg,5.0,BOM,Elianai de souza silva Souza,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-18,gp:AOqpTOFD0q6h27Vlztx3AZBkjXJmwJlMX51QaCZqEq18qx6C_C_ohSFXm0ytf_P7zUV17M9KxWkdHzM5bBnA1g,5.0,Bom,Erivilson Gomes dos Santos,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-16,gp:AOqpTOGTKG_HClFPUkqvSmg0VoP_DA7ZD-nAy404XymUr2O0cNZxOtN3Fn_jbMy3shIhGUBHagcRSBldRjcCBA,1.0,Gea,Daniel Lopes,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-16,gp:AOqpTOF4XidcnjLF-9_s6AW_lMGSqc7oFeQeOWSEFtDoiXks4XeU3GJA-p-XDcw_3BptXBSR2EDjl7FbRqvlSQ,5.0,Bom,Alisson Limas,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-16,gp:AOqpTOEuOdXAfpw90c8XKIRFvUizNTXjKnkWjAYHLmlYAsRFwXEQ88jgIGXPfLdXBM5AJEddhTzTXjfzg6rd6w,5.0,Meu,Gabrielly De Jesus Dias,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-15,gp:AOqpTOHmlqhjgs0VurBLbAbTB176OXRvmgBt7TNA5m3PFVhC08Lu-BD5i_pizj0FNKCMDeWtxTiNxut-zkxQ-w,5.0,Top,emersom macedo,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-15,gp:AOqpTOFWhEKSuVwCx-Wc-klUiPU-8U9WQZok_wxwfXnEBVNl5cEg4I3geo2qBAKTZfcUBIllKHMPEdQis_FEPQ,5.0,Bom,adilson barbosa Ferreira,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-12,gp:AOqpTOF7EhWLStyMDC11Z7kpinPdXdEDMnGFQJbdtzpPHPtMuz3aBtm4rYgv1zfSV0J-_03k9wRCuL6nKr1ZKQ,5.0,Bom,jussandra santos,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-05-11,gp:AOqpTOEPuIA4y2ukMCUg-PHw2767ya0UKvWVekZ8Yppyz_W0nh7j1Djbv7VjXxK_pUtjUOzKWkv8qtb1Q55zyg,5.0,Bom,Rogerio Santos,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,
2020-07-05,gp:AOqpTOEyaovnkzxmPvNJUMKde7XVQW3dmNdtOLsFy1ykqso6tEnBlWRSqjnKfklBdokuoteRt0ds1VC4KFeVng,1.0,Ruim,criatório & cia,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-07-05,gp:AOqpTOGitq8HZyBnU1zEN-21XgnepdlhEzV52zaWiU-DOOjqfNDE_o_W8fnnC1uzz0ToznaBPS5hj6KqTmbFOA,1.0,Zero,Luis Fernando Medeiros Sampaio,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-06-06,gp:AOqpTOFGZYrhgPsffqm4te3ozvqv3k3H43KESMzdlj3QxiWhRUlBQ0tuNWzxg9YLkSVm5Dhy8fMqwUlXGBShQQ,5.0,Joia,Luis P Prata,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-06-04,gp:AOqpTOGeOwf0U-oVrvi7H--KCifThrufVklcwB9CqrCjF2a8bpYGq2g0JE2cKuEmd2RgbB7ZlGuzHE-U37Ct4A,1.0,Lixo,Diego Reis,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-05-25,gp:AOqpTOHB9r5A3toJzRHt9991aoWzvpbGIAQ10M3ORQI12a4Nvm7G-M0ugVcfsEBMCJ1gVE2DPHuOVXGxOqptbQ,1.0,Lixo,Jonatan Gutterres,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-05-25,gp:AOqpTOGU5Ma-sZzUVBl1obFmCZAAf4BMSfcAo93oGfVuLojBna64BxlZxK5ESEc6GGh3VeIQJqSNeEK-MSRahw,5.0,Bom.,Bryan Willian Games,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-05-22,gp:AOqpTOHPg8e8pLW7kiM6livVS--AJTc8TUHwK72Us0YLwQdpTvIydDz6a-7TGiNxJDYwBgPhIvhMFrgGzB3iyw,3.0,Ruim,thiago ingles,1.1.2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-05-21,gp:AOqpTOHpe9sLbYAplnzZsxpTgZwSR_LAloenwkdu41nJY1FGu4MtwTY6evYUxatx0bLqSlN2TuhRtUq_6ajj7Q,1.0,Ruim,Mayco Regiane,1.1.2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-05-19,gp:AOqpTOHRGP2GVF-HdvvUzvHgDaOUbu9nLUz-wJDPGvLXw3YNkAGGdBjsGvNaUsmycoJxgf_NyhgAoDrCc93KKA,1.0,Ruim,Elias Ferro,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-05-18,gp:AOqpTOFOpXiQskV4jaygtWKxBi6Yq9dLI5xyj4xidYSyHBNgGFZkTqbsdCTt-zJtYR9AzBtPPZlCkHpx93lKhA,1.0,Ruim,Luiz Villela,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-05-07,gp:AOqpTOH4_AvEWy_QD6aneacLqDlx4IqsssPi59pLLJyV3XQQkGEU0o80sK3Ag9mprcITjfQZpruOiYGkVwtJEA,4.0,Útil,Antonio Vinícius Varandas Pires,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,,
2020-07-05,gp:AOqpTOGrBe82tAehXU03EMpz-iKnVaaHK6sMDzEVAK3JwsHANTu70AE5C4pPVwEStcu6mWfgEKSV-88tl3XiAA,5.0,Otimo,Adriana Alves,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-06-26,gp:AOqpTOEir50AInOSTSo9Gdr3KOk7KL9Sk9DP_jir7BGmgjYY4UljAHNCMyVooqiypjXDGpKj57_qbtSt_VWtfA,5.0,Ótimo,Renato Allan Rodrigues Soares,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-06-10,gp:AOqpTOHqGBpHMDbZs5LuFip2O-lCCjtvINgQWoWXB0WmOdEaJlV7l6EvFUAU38KIlXFwUF6XYX4U-U8O_pbWSQ,5.0,Otimo,Carlos Sena,1.1.2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-06-08,gp:AOqpTOHs5A1tC711ajKidVUaC9B5b_PfD4O2u-Kh05VXjLo3SwL-uf0c7fULZf-FwCmAruOXssYjnYEaXiNMPQ,5.0,Otimo,Vanilde Barbato,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-06-06,gp:AOqpTOHMAoIT4LILVWnt3tYsezA8lfjQ-XPLuHZ9xAsENWlBAVGnawl3ovgFTWuokHS2KnitiiWak22sXSDqrQ,5.0,Otimo,luis farias gomes,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-06-05,gp:AOqpTOGbBEF5BGbuGQCY5X658qGLBa9BH7_fUJ07H2nN_IpOUmgmudm9jkSaQyZcz0rFuWmprtAUKlu9aJTOAA,5.0,Otimo,Vanilde Pereira,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-06-02,gp:AOqpTOHJg5LBK8-XjH_pYr1cfZZYS6DCE2Ga-vDAGiqHd2ZyjcR_Cb-cxu2FEvpHe26FUvxpyjqWDCmInjwuiA,3.0,Média,Alexandre Nogueira Santos,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-05-17,gp:AOqpTOGlM61v8gilez-vn6D5m6_v9x4c7HKlhbCAfOvCfvQWQSV5jlul6uheOI2GsggOLsDhahQipuwwDo2oEg,5.0,Legal,jalom marques oliveira marques oliveira,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-05-16,gp:AOqpTOGbemLl2_GLtkfy0AK_jsfvGWw9SzU153Ij7syiEly2HKPAY8BAAlxUsgIg421q_YFubiUxwd22OJerfw,5.0,Legal,Lluiz Everardo Martins Lima,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-05-12,gp:AOqpTOGKJZIlFiR5ne0v9AOMGgPEKEDdbG__2WxmuMlnmxVN4ggRCm9rkJTcIxH2LzIIOQfgXWw6tYspJuUFCQ,5.0,Ótimo,Wellington Aparecido,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-05-11,gp:AOqpTOGpw6wuqZnwJvPKtsvoYgux5Ax65je09_vsDri-avy1JQKoJiR0QIDlhDFBtgLqSDf_TPVXr1x2fMgJlg,2.0,Bosta,Marluce Barbosa Dos Santos,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-05-06,gp:AOqpTOG6it-13A0UnsytUnbYAMF8AvIuw3AffgtX9DYCsIbm7SO2S6n0oSWf40eeYXxaUDvnDzfxSdQaOhJmZQ,5.0,Ótimo,Lopesmarcelo23@gmail.com Marcelo,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-05-05,gp:AOqpTOGl0vxA5lEvpHlpDnraipbyERX9ipx_bOCIrv3WSQlOImOx95qXzWqr_rhHIC__yfvZZplK3JT9kb3g4A,1.0,Bosta,Luciana Ferreira,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-05-04,gp:AOqpTOHzpxCKkiauncTknCHLLH0NbcZYUYmgahvXmjKOtqg217_2FXGAX9dYBH65SdL1YymsC6I3uco7PP9fKA,5.0,Ótimo,Juliana Ilda Matos Firmino,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,,
2020-07-06,gp:AOqpTOF3VTFgSz-q-6_08iCX5v31MQRaXWFj2xLAiJmqvfGSyLDCscT4YUISeqYDcyO4kaLG07lPk1dLpEtuSw,2.0,Beleza,Nando Vaz Nogueira,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,,
2020-06-26,gp:AOqpTOFKCenE6CockTwz7WcVD4TC7TMEubAjg_3oOb0c4M3zvIh5LeFJTrItW6zaASX12MmF5i_jNITiQI_WPA,1.0,Pecimo,Angela Braz,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,,
2020-05-18,gp:AOqpTOFIrnaszA1ReIiz5xtl8wDNilIXJRmFLNTNsLZ4hSANBWVdsqN9EQr7slCZcfnH9aYPx2zIZo24FCkX2w,1.0,Inútil,Flávia Viviane,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,,
2020-07-05,gp:AOqpTOGMDGIB3LgRQYFLUDx-vBWvbKElGrj42f6alpF71UiK6AWD7NzHgMKZz-qNFeqQdsdnHzWIW5CDvF17eA,4.0,ótimo👍,Max Miliano Barbosa Sousa,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-07-03,gp:AOqpTOE3Mc0gpgmb3lKf6fkgOOxm48id6BNPvLzgYpZlgO9C2ge1YLlXejZBzn2kk69SzUJbTHkVUzxbPsjrjQ,1.0,Péssimo,Jandirson willian de matos,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-07-02,gp:AOqpTOEDzQP7vgU1B6C7HHEMbcb7zoNbpWGwRf_QRcyk95bSHmS2RmsxCi3vMAapkBpOXvJaLQNZ_tesOCTXEw,3.0,Mbbnb m,Lucas Yago,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-07-02,gp:AOqpTOGqQksUjDNO43CwXX97G8NFu9_T9QBY7QdqvJfRpdnHy5v86WyItjDElCsXZnAoZsSJPTcQqfqSYE9Icg,1.0,Péssimo,Marcelo Oliveira,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-06-30,gp:AOqpTOG3xo2YjYnw6dhoztAl9wTHE7AsxzagC1cOfCNsmqmV6KRUo21Lsxdw3OS8ya-BhHL6zjoW1Xx4VLZEyw,1.0,Péssimo,Felipe Ergang,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-06-27,gp:AOqpTOHc4RYOFBUYYYX307qKwyBvzhWgrgDy0vCtf6OE7DmIfM6XFrutH7ULP6bUJfX6q2I7XphIKm7rPdfXjA,1.0,Péssimo,warlen Oliveira,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,7,,
2020-06-25,gp:AOqpTOEgvU7mAIoFTB4m9vgRIPyK5w4z9WqjOfmr1WRXrj97Ol37olmdrrJqs6zj9FL_jK6rb9viUlcSk0-eJw,1.0,Péssimo,Vinicius Correia,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-06-24,gp:AOqpTOEURP15znbnOLlverzyW_JMpjec9rYWVyq7ruUWHBUMIOZKmBLiuTtufleRGRBJSZsb5CUOjaOkT70ylQ,1.0,Pessimo,Rogerio silva,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-06-23,gp:AOqpTOFTpJrhifpgd5skGrPfeZDAhghNfv8S-EsDvdgLruHoVWmyI4pw-SzU3LpIf5kJ_zfh63slxq_tLE7ZDQ,1.0,MT ruim,Marlene Amparo,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-06-22,gp:AOqpTOERSpELsikWDWp3Zz-KXDmv1drSmP8IPrsoqDjSbYt7HIUcouBE2dwcHPNHzpbdTo-Q_bWy2aZ8yp5Vgg,1.0,Um lixo,Wanderley Ferreira,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-06-17,gp:AOqpTOEOSAUjD75E4osNVWXmZ6pvd0GCsZ4ID5OT8TIqzpfYvxwzR4BPMvT46J80kCm1KKXZcw2a9Jblh8gCuA,1.0,Pessimo,Guto Galvao,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-06-11,gp:AOqpTOF30AeJ98OmLYVZitUSNCstsddRp_c0sq6NiZMEjuuINN2_yPEkHDzYI9fGNmLHGM1rwnK5R8xIHSeDWw,1.0,Pessimo,Franciely Duarte,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-06-06,gp:AOqpTOEUCSHVdGKLJoAOML9wZpHzkD0A8Xavn9KPgidxzcGilmD8CjyuT35NYKiIQa2nk-sKYzCbu0qJsVE6dg,3.0,Nao boa,Angela Reis,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-05-28,gp:AOqpTOGoku7D5G74lQyV86tR4SUvRas5vXILa4oe9lUX0oszpRm33TgRS_I0a2E4dBbsMi47eYNoiqhAenigOQ,5.0,Nota 10,Sebastiao fernandes Soares,1.1.2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-05-18,gp:AOqpTOGrp_pzYN_PfEvrnbwMVQEW0JvypCGjZutZy6-2KXbstUL7xHs1vgLFbnvgOVBQP6MDNf-ZcMFdOiilpQ,1.0,Pessima,Wanderlei Barros,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-05-18,gp:AOqpTOE0rVJDo4Y4qC3avw29N95CYOknj2IzuPsGFeThdiGDGmtSLEi6g27YENpWR-d2X3U8yOjthR-Z93keGw,1.0,Pessimo,Vera Melissa,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,,
2020-07-02,gp:AOqpTOFURjPRqN99uhSrl93Tx0Sqe16BESYE0hjDCBqH4tfRMcXHMDt5sTRb1l8QmK5RaOeyhaRuSfa61HbQDg,1.0,Terrível,Edson Batista Da Silva,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,,
2020-07-01,gp:AOqpTOEq-B_pCdnYFzHYWaJ55dqlPCJQ55hq3bmW1OdhVc4RvhnesvoQ6V4PxnpCq05reJZ0nq2k_Ul1Dygo4w,2.0,Horrível,cristovão José Araujo,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,,
2020-06-29,gp:AOqpTOHVlr7Snbw9v0-vrk_r87wnBOUkNPVf8jTKq9TUcBogrL37X0n8BCoLwgEGnboQ-VAH1PRtTJEMTVNBHQ,1.0,Péssimo.,Dayanna Belizário,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,,
2020-06-21,gp:AOqpTOH-SD_75cfY7TmCPxgGVbWWZYFiJdGXMOyEI4XRHqRZG4PaGBnLC5KSt4oEnQjDVLA32kQr3v9hCTkPjg,5.0,Parabéns,CergioFernando de Freitas da Silva,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,,
2020-06-03,gp:AOqpTOE_m9n7S4sjOGrRmNjo-tOHIL1VcqVDGcEZh7WwbMByVCt0hSVtT-kGF78vRdBtRzoP6GIakpM2ni2RKA,1.0,Não abre,Edson Maneta,1.1.2002,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,8,,
2020-05-25,gp:AOqpTOGnVFdIbCMIMSaxatH_BUhgNWAJnkcpHVXYixhI1EnjO6mlPaXCtuZQYEsGIRQYMo6OyW0Fa5282siYaA,1.0,Péssima.,Marta Janete Silva Madureira Madureira,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,,
2020-05-20,gp:AOqpTOHRwHwu1gvYi9ra-_RYgvvAf1fypO9MfIGlmVoSsHoVF5BOHaC1tQrky2HgJeY_pHOnP9l-fc0_pF7ETQ,1.0,Horrível,Lucas Albuquerque,1.1.2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,,
2020-05-19,gp:AOqpTOEto3xmU0Em9dI0v97xdiidt-VovmyMeBOWsaBC_mJoe0z1-RqD7yEMiBdXIXmJzlwTfgoZPJXBi-UeRg,1.0,Horrivel,Cristiane Miotte,1.0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,,
